,City,Cloudiness,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
124,bandarbeyla,100,1572895811,81,9.49,50.81,27.25,6.07
125,college,1,1572895812,84,64.86,-147.8,-10.57,2.1
126,chokurdakh,95,1572895812,88,70.62,147.9,-19.23,1.02
127,kalmunai,48,1572895812,81,7.42,81.82,26.76,4.33
128,fortuna,1,1572895813,59,40.6,-124.16,18.33,2.49
129,butaritari,46,1572895599,71,3.07,172.79,28.58,6.36
130,moron,0,1572895813,69,18.56,-74.26,27.82,6.97
131,tuktoyaktuk,90,1572895813,85,69.44,-133.03,-8.0,3.1
132,buzuluk,39,1572895814,46,52.79,52.25,-2.21,5.75
133,mount gambier,90,1572895560,93,-37.83,140.78,6.0,4.1
134,quesnel,75,1572895814,93,52.98,-122.49,8.0,2.6
135,teknaf,8,1572895814,91,20.86,92.31,21.09,0.77
136,faanui,13,1572895815,76,-16.48,-151.75,26.73,1.45
137,narsaq,100,1572895815,57,60.91,-46.05,1.76,11.18
138,mandali,0,1572895815,31,33.75,45.55,21.65,5.81
139,coquimbo,0,1572895815,81,-29.95,-71.34,14.13,10.87
140,carnarvon,0,1572895815,27,-30.97,22.13,21.42,6.86
141,bathsheba,40,1572895816,70,13.22,-59.52,30.0,7.2
142,lasa,20,1572895816,72,34.92,32.53,20.0,3.1
143,alofi,100,1572895816,68,-19.06,-169.92,22.44,5.18
144,kaitangata,100,1572895817,92,-46.28,169.85,13.33,4.28
145,east london,20,1572895563,88,-33.02,27.91,18.0,3.6
146,clyde river,75,1572895817,85,70.47,-68.59,-8.0,7.7
147,talnakh,75,1572895817,77,69.49,88.39,-18.0,7.0
148,port blair,100,1572895818,85,11.67,92.75,27.24,9.13
149,varna,75,1572895818,64,43.22,27.9,21.0,5.1
150,hofn,90,1572895818,82,64.25,-15.21,0.0,2.1
151,bambous virieux,40,1572895818,88,-20.34,57.76,23.89,5.1
152,lerwick,40,1572895787,65,60.15,-1.15,7.0,9.8
153,saldanha,36,1572895819,84,41.42,-6.55,6.91,5.53
154,kimparana,17,1572895819,29,12.83,-4.92,32.22,2.78
155,shebekino,40,1572895819,81,50.41,36.89,11.0,6.0
156,nhulunbuy,100,1572895819,88,-12.18,136.78,25.0,4.72
157,nikolskoye,75,1572895820,86,59.7,30.79,1.11,6.0
158,maceio,40,1572895704,65,-9.67,-35.74,28.0,6.7
159,aktau,90,1572895820,80,43.65,51.16,4.0,7.0
160,saskylakh,81,1572895820,96,71.97,114.09,-24.72,3.44
161,middelkerke,40,1572895821,87,51.19,2.82,10.56,4.1
162,laguna,75,1572895704,78,16.17,-88.94,28.0,2.1
163,emerald,90,1572895821,78,-23.53,148.16,23.0,1.5
164,paamiut,100,1572895821,81,61.99,-49.67,1.68,7.66
165,kutum,0,1572895822,23,14.2,24.66,21.95,2.72
166,lazaro cardenas,75,1572895822,41,28.39,-105.62,25.0,1.36
167,bay-khaak,6,1572895822,65,51.16,94.47,-4.91,2.94
168,ponta do sol,43,1572895822,77,-20.63,-46.0,23.51,3.03
169,georgetown,75,1572895718,88,6.8,-58.16,26.0,2.1
170,atasu,100,1572895823,88,48.68,71.64,-0.32,5.77
171,garmsar,0,1572895823,52,35.22,52.34,15.0,0.75
172,palestine,40,1572895823,64,31.76,-95.63,23.89,5.1
173,opuwo,99,1572895823,32,-18.06,13.84,25.55,4.62
174,roald,0,1572895824,69,62.58,6.12,2.0,7.2
175,celestun,1,1572895824,84,20.87,-90.4,26.77,8.33
176,poum,40,1572895824,71,41.28,20.71,14.0,4.1
177,sobolevo,100,1572895824,93,54.43,31.9,10.78,6.15
178,satka,100,1572895825,58,55.04,59.03,-2.94,3.65
179,shelbyville,40,1572895825,40,39.41,-88.79,12.22,4.1
180,namibe,95,1572895825,85,-15.19,12.15,22.64,4.51
181,krasnyy chikoy,81,1572895825,64,50.36,108.75,-7.49,1.3
182,puerto colombia,40,1572895826,79,10.99,-74.96,29.0,5.7
183,paka,66,1572895826,95,4.15,15.03,20.55,0.34
184,tiruchchendur,11,1572895826,82,8.48,78.12,26.22,1.06
185,katsuura,20,1572895826,81,33.93,134.5,10.0,3.1
186,isangel,75,1572895826,73,-19.55,169.27,23.0,2.6
187,ulladulla,90,1572895827,87,-35.36,150.48,12.0,2.6
188,half moon bay,90,1572895827,87,37.46,-122.43,24.44,3.6
189,khatanga,83,1572895827,97,71.98,102.47,-20.62,5.0
190,saint-pierre,90,1572895828,93,48.95,4.24,11.0,6.7
191,shanghai,0,1572895828,82,31.23,121.49,15.56,3.0
192,marzuq,38,1572895828,64,14.4,46.47,19.63,1.14
193,los llanos de aridane,20,1572895828,73,28.66,-17.92,22.0,6.2
194,lebu,0,1572895828,82,8.96,38.73,9.6,1.09
195,ahipara,0,1572895829,100,-35.17,173.16,16.11,2.64
196,humaita,40,1572895829,40,-24.93,-65.37,34.0,3.6
197,nemuro,43,1572895829,75,43.32,145.57,6.26,7.84
198,omboue,100,1572895829,96,-1.57,9.26,22.82,0.71
199,tocopilla,63,1572895829,26,-22.09,-70.2,21.44,3.83
200,rafaela,35,1572895830,78,-31.25,-61.49,25.56,1.34
201,herat,100,1572895830,53,34.35,62.22,5.52,5.85
202,votkinsk,100,1572895830,79,57.05,53.99,1.67,1.79
203,spearfish,90,1572895830,76,44.49,-103.86,3.89,4.1
204,sinnar,0,1572895831,79,19.85,74.0,20.82,0.52
205,tamworth,75,1572895831,82,-31.09,150.93,13.0,8.7
206,matagami,32,1572895831,39,9.67,8.4,21.43,2.04
207,algiers,1,1572895656,37,29.94,-90.04,23.0,2.1
208,mantua,40,1572895831,87,45.16,10.79,15.0,2.6
209,darab,0,1572895832,21,28.75,54.55,17.76,0.17
210,arman,100,1572895832,72,59.7,150.17,0.99,6.71
211,cuamba,50,1572895832,61,-14.8,36.54,24.34,2.71
212,liyang,0,1572895832,93,31.42,119.48,10.0,2.13
213,hay river,90,1572895833,92,60.82,-115.79,-9.0,2.1
214,hovd,0,1572895833,62,63.83,10.7,0.0,3.6
215,kapra,40,1572895833,100,17.48,78.56,23.33,2.1
216,klaksvik,100,1572895833,74,62.23,-6.59,3.0,5.7
217,garissa,29,1572895694,55,-0.46,39.64,28.45,8.98
218,salalah,75,1572895834,78,17.01,54.1,28.0,2.1
219,aksu,90,1572895834,92,52.04,76.93,-1.0,3.0
220,tawang,0,1572895834,89,27.59,91.87,-1.97,1.32
221,acapulco,75,1572895834,70,16.86,-99.88,31.0,2.1
222,port-gentil,40,1572895835,88,-0.72,8.78,27.0,2.6
223,mangrol,32,1572895835,40,25.33,76.51,22.94,2.63
224,rosita,3,1572895835,92,13.92,-84.4,26.17,1.35
225,champerico,40,1572895835,54,16.38,-93.6,29.0,2.1
226,tiksi,96,1572895807,91,71.64,128.87,-21.22,2.12
227,suleja,15,1572895836,74,9.18,7.18,27.0,1.0
228,vad,81,1572895836,81,45.79,25.15,14.44,2.68
229,venice,75,1572895687,66,27.1,-82.45,30.56,2.1
230,presidente dutra,56,1572895837,69,-5.29,-44.49,27.08,2.32
231,chumikan,71,1572895837,74,54.72,135.31,-6.96,0.55
232,hobyo,100,1572895837,78,5.35,48.53,26.36,5.66
233,hachinohe,20,1572895837,80,40.47,141.48,6.67,2.6
234,alice springs,3,1572895838,23,-23.7,133.88,12.0,1.5
235,estelle,100,1572895838,87,43.97,3.47,14.44,5.1
236,biskamzha,100,1572895838,96,53.45,89.53,-3.45,1.11
237,provideniya,0,1572895558,90,64.42,-173.23,-8.85,1.12
238,kawai,75,1572895839,62,34.58,135.74,14.0,6.2
239,ucluelet,90,1572895652,87,48.94,-125.55,10.56,1.5
240,port hedland,10,1572895839,68,-20.31,118.58,19.0,3.1
241,port hardy,20,1572895839,81,50.7,-127.42,12.0,1.0
242,sangar,100,1572895840,96,63.92,127.47,-16.85,3.57
243,ratnapura,0,1572895840,79,17.9,77.63,21.66,0.82
244,nortelandia,53,1572895840,40,-14.45,-56.8,32.72,2.39
245,souillac,100,1572895840,87,45.6,-0.6,10.0,4.1
246,numazu,64,1572895841,70,35.1,138.87,11.67,1.79
247,gazli,0,1572895841,62,40.13,63.45,-0.96,2.63
248,karpogory,22,1572895841,95,64.0,44.44,-5.5,2.68
249,cidreira,100,1572895841,96,-30.17,-50.22,20.8,8.79
250,westport,1,1572895688,40,41.14,-73.36,13.33,2.1
251,rancho veloz,40,1572895842,52,22.88,-80.39,31.0,6.2
252,touros,75,1572895842,65,-5.2,-35.46,28.0,7.2
253,camargo,100,1572895842,35,27.69,-105.17,25.54,0.68
254,husavik,71,1572895842,56,50.56,-96.99,-3.89,4.92
255,nelidovo,100,1572895843,89,56.22,32.78,11.09,4.93
256,valdivia,0,1572895843,40,-39.81,-73.25,13.7,3.24
257,koygorodok,100,1572895843,97,60.44,51.01,2.17,2.47
258,manokwari,100,1572895805,65,-0.87,134.08,23.21,2.21
259,port lavaca,40,1572895843,54,28.61,-96.63,28.89,4.1
260,burnie,1,1572895844,82,-41.05,145.91,5.0,2.68
261,severo-kurilsk,33,1572895844,94,50.68,156.12,-0.03,1.09
262,riyadh,0,1572895643,28,24.63,46.72,28.0,1.5
263,fairbanks,1,1572895629,84,64.84,-147.72,-10.57,2.1
264,rawson,0,1572895845,56,-43.3,-65.11,11.9,5.04
265,verkhoyansk,100,1572895845,90,67.55,133.39,-20.34,1.12
266,alyangula,79,1572895845,94,-13.85,136.42,25.0,3.0
267,bergkamen,77,1572895845,93,51.61,7.64,10.56,3.1
268,luderitz,94,1572895846,93,-26.65,15.16,15.0,10.3
269,boyolangu,93,1572895846,85,-8.09,111.9,23.28,2.65
270,jesus carranza,1,1572895846,19,31.49,-106.24,25.56,4.5
271,gros islet,40,1572895846,70,14.07,-60.95,31.0,9.3
272,pevek,100,1572895846,82,69.7,170.27,-12.16,2.9
273,mareeba,73,1572895846,94,-16.99,145.42,20.0,0.5
274,kenora,90,1572895847,62,49.76,-94.48,-4.0,5.7
275,ust-maya,100,1572895847,95,60.42,134.54,-12.13,2.01
276,henties bay,56,1572895847,49,-22.12,14.28,19.19,0.79
277,bethanien,18,1572895847,10,-26.5,17.16,23.61,2.57
278,wadi maliz,0,1572895847,77,36.47,8.55,18.0,1.5
